bin	x	y	n	provinces	se	lower	upper
1	-0.46912221121459796	-1.0836479383584336	3264	14	0.635721040436893	-2.457039748372212	0.2897438716553451
2	-0.19249874602866682	0.5601428854063755	3264	17	0.8440139404188635	-1.2290867395041851	2.349372510316936
3	-0.0995777243667216	-0.55689158838963	3264	19	0.6193310271560155	-1.8580577935468239	0.7442746167675639
4	-0.04045137483655992	0.6642775166148754	3264	16	0.5991489569919256	-0.6127782554881777	1.9413332887179284
5	-0.015588190888106661	0.19893485428641058	3263	16	0.5858463835952857	-1.0497671537955988	1.4476368623684202
6	0.017138183495217518	0.07805144448280228	3263	21	0.6172172428487763	-1.2094411631219637	1.3655440520875681
7	0.0679928211457445	-0.5279886914761619	3263	19	0.9506828227976513	-2.525299187170313	1.469321804217989
8	0.10075103108362267	-0.3316741199194572	3263	19	0.6912521187580983	-1.7839409315816617	1.1205926917427471
9	0.13985558211945584	-0.1187567054825478	3263	18	0.4886507081755427	-1.1497195817105894	0.9122061707454938
10	0.49174630833108	1.1176798693833485	3263	16	0.8095945619671249	-0.607930091809145	2.8432898305758423
