model	model_label	term	term_label	effect_type	effect	ci_lower	ci_upper	cluster_pvalue	cr2_ci_lower	cr2_ci_upper	cr2_pvalue	cr2_df	n_persons	n_person_waves	n_clusters	analysis_years	fixed_effects	resource
J2	Concurrent TCM resources with contextual adjustment	z_tcm_beds	Concurrent TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	3.18028	1.40818	4.95239	0.00102	0.48117	5.87939	0.02998	4.43111	13083	32634	28	2011;2013;2015;2018	province and survey year	TCM hospital beds
J2	Concurrent TCM resources with contextual adjustment	z_tcm_physicians	Concurrent TCM practicing/assistant physicians per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.18523	-5.37657	1.00612	0.17143	-6.61445	2.24399	0.27363	6.08527	13083	32634	28	2011;2013;2015;2018	province and survey year	TCM physicians
J2	Concurrent TCM resources with contextual adjustment	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.88235	-5.16752	-0.59718	0.01535	-5.60456	-0.16014	0.03997	10.18858	13083	32634	28	2011;2013;2015;2018	province and survey year	Comprehensive-hospital beds
