province	province_label	year	beds	physicians
上海市	Shanghai	2011	3.03	2.41
上海市	Shanghai	2013	3.5921325051759836	2.6368530020703935
上海市	Shanghai	2015	3.92	3.08
上海市	Shanghai	2018	4.45	3.69
云南省	Yunnan	2011	3.49	1.54
云南省	Yunnan	2013	4.731811393215276	1.9532750160017067
云南省	Yunnan	2015	5.41	2.1
云南省	Yunnan	2018	6.59	2.83
内蒙古自治区	Inner Mongolia	2011	4.28	3.62
内蒙古自治区	Inner Mongolia	2013	6.10648518815052	4.33226581265012
内蒙古自治区	Inner Mongolia	2015	7.96	5.15
内蒙古自治区	Inner Mongolia	2018	11.82	6.14
北京市	Beijing	2011	5.86	5.65
北京市	Beijing	2013	8.163120567375886	6.634988179669031
北京市	Beijing	2015	9.12	7.35
北京市	Beijing	2018	11.54	9.13
吉林省	Jilin	2011	4.68	2.58
吉林省	Jilin	2013	5.110868774990912	2.8629589240276263
吉林省	Jilin	2015	5.73	3.34
吉林省	Jilin	2018	7.32	4.47
四川省	Sichuan	2011	4.19	3.43
四川省	Sichuan	2013	5.8039965461946466	4.239176020722832
四川省	Sichuan	2015	6.95	5.5
四川省	Sichuan	2018	8.43	6.21
天津市	Tianjin	2011	4.1	3.41
天津市	Tianjin	2013	5.016983695652174	3.8247282608695654
天津市	Tianjin	2015	5.67	4.44
天津市	Tianjin	2018	6.18	5.75
宁夏回族自治区	Ningxia	2011	4.51	2.2
宁夏回族自治区	Ningxia	2013	5.9525993883792045	2.7079510703363914
宁夏回族自治区	Ningxia	2015	6.28	2.99
宁夏回族自治区	Ningxia	2018	7.22	4.03
安徽省	Anhui	2011	2.84	1.37
安徽省	Anhui	2013	4.054726368159204	1.6933665008291874
安徽省	Anhui	2015	4.77	1.93
安徽省	Anhui	2018	5.94	2.4
山东省	Shandong	2011	4.22	1.95
山东省	Shandong	2013	5.073564163156273	2.713346347477654
山东省	Shandong	2015	5.73	3.17
山东省	Shandong	2018	6.67	4.27
山西省	Shanxi	2011	3.72	3.06
山西省	Shanxi	2013	4.533333333333333	3.646831955922865
山西省	Shanxi	2015	4.77	3.88
山西省	Shanxi	2018	5.66	4.46
广东省	Guangdong	2011	2.98	2.3
广东省	Guangdong	2013	3.516535137166479	2.7253851935362645
广东省	Guangdong	2015	4.19	3.08
广东省	Guangdong	2018	4.97	3.81
广西壮族自治区	Guangxi	2011	3.88	1.79
广西壮族自治区	Guangxi	2013	4.729391820300911	2.2644628099173554
广西壮族自治区	Guangxi	2015	5.69	2.68
广西壮族自治区	Guangxi	2018	6.78	3.46
新疆维吾尔自治区	Xinjiang	2011	5.78	2.01
新疆维吾尔自治区	Xinjiang	2013	6.609982332155477	2.521201413427562
新疆维吾尔自治区	Xinjiang	2015	7.54	2.85
新疆维吾尔自治区	Xinjiang	2018	8.27	3.56
江苏省	Jiangsu	2011	3.75	1.76
江苏省	Jiangsu	2013	5.124700843935004	2.3457614309106942
江苏省	Jiangsu	2015	5.88	2.69
江苏省	Jiangsu	2018	6.82	3.61
江西省	Jiangxi	2011	3.35	1.84
江西省	Jiangxi	2013	4.634011499336577	2.0862450243255197
江西省	Jiangxi	2015	5.53	2.42
江西省	Jiangxi	2018	6.75	2.81
河北省	Hebei	2011	3.82	2.3
河北省	Hebei	2013	4.441838265375699	2.7728078549024957
河北省	Hebei	2015	5.11	3.38
河北省	Hebei	2018	6.8	4.51
河南省	Henan	2011	3.94	2.06
河南省	Henan	2013	5.084882609157548	2.5456283862743017
河南省	Henan	2015	6.02	3.13
河南省	Henan	2018	7.71	3.94
浙江省	Zhejiang	2011	4.82	2.69
浙江省	Zhejiang	2013	5.8750454710803925	3.3242997453619494
浙江省	Zhejiang	2015	7.07	4.13
浙江省	Zhejiang	2018	8.35	5.03
海南省	Hainan	2011	3.01	1.49
海南省	Hainan	2013	3.7541899441340782	1.7150837988826817
海南省	Hainan	2015	4.43	2.08
海南省	Hainan	2018	4.67	2.5
湖北省	Hubei	2011	4.02	2
湖北省	Hubei	2013	5.403345404380065	2.3381617520262115
湖北省	Hubei	2015	6.81	2.73
湖北省	Hubei	2018	8.06	3.14
湖南省	Hunan	2011	5.07	2.2
湖南省	Hunan	2013	5.993424002391272	2.5812285159169033
湖南省	Hunan	2015	7.11	3.06
湖南省	Hunan	2018	8.75	3.96
甘肃省	Gansu	2011	4.74	3.23
甘肃省	Gansu	2013	6.8261037955073585	4.003098373353989
甘肃省	Gansu	2015	8.47	4.63
甘肃省	Gansu	2018	10.96	5.41
福建省	Fujian	2011	3.73	2.49
福建省	Fujian	2013	4.8447270800211975	3.042925278219396
福建省	Fujian	2015	5.32	3.36
福建省	Fujian	2018	5.61	4.09
西藏自治区	Tibet	2011	3.07	2.56
西藏自治区	Tibet	2013	3.5544871794871793	3.608974358974359
西藏自治区	Tibet	2015	5.39	3.61
西藏自治区	Tibet	2018	6.76	6.3
贵州省	Guizhou	2011	2.92	1.5
贵州省	Guizhou	2013	4.836664762992576	1.9486007995431185
贵州省	Guizhou	2015	5.88	2.42
贵州省	Guizhou	2018	7.06	3.36
辽宁省	Liaoning	2011	3.93	2.13
辽宁省	Liaoning	2013	4.894305239179954	2.5624145785876995
辽宁省	Liaoning	2015	5.83	2.77
辽宁省	Liaoning	2018	7.36	3.67
重庆市	Chongqing	2011	3.56	3.31
重庆市	Chongqing	2013	5.448148148148148	3.731313131313131
重庆市	Chongqing	2015	6.87	4.24
重庆市	Chongqing	2018	10.28	5.34
陕西省	Shaanxi	2011	4.77	2.37
陕西省	Shaanxi	2013	6.114505844845908	2.759829968119022
陕西省	Shaanxi	2015	7.19	3.04
陕西省	Shaanxi	2018	8.77	3.85
青海省	Qinghai	2011	5.35	2.31
青海省	Qinghai	2013	7.010380622837371	3.389273356401384
青海省	Qinghai	2015	9.26	4.16
青海省	Qinghai	2018	10.23	5.1
黑龙江省	Heilongjiang	2011	3.93	2.01
黑龙江省	Heilongjiang	2013	4.737157757496741	2.335593220338983
黑龙江省	Heilongjiang	2015	5.91	2.63
黑龙江省	Heilongjiang	2018	7.55	3.13
