year	outcome	respondents	events	event_rate	available	rate_label
2011	Broader TCM-related use	7605	621	8.165680473372781	TRUE	8.2%
2011	Primary treatment outcome	7626	1452	19.040125885129818	TRUE	19.0%
2011	Strict TCM hospital visit	7605	94	1.2360289283366206	TRUE	1.2%
2013	Broader TCM-related use	8451	1085	12.838717311560762	TRUE	12.8%
2013	Primary treatment outcome	8481	1576	18.58271430255866	TRUE	18.6%
2013	Strict TCM hospital visit	8451	129	1.526446574369897	TRUE	1.5%
2015	Broader TCM-related use	9786	1517	15.501737175556919	TRUE	15.5%
2015	Primary treatment outcome	9814	2110	21.49989810474832	TRUE	21.5%
2015	Strict TCM hospital visit	9786	147	1.502145922746781	TRUE	1.5%
2018	Broader TCM-related use	0	0	NA	FALSE	Not available
2018	Primary treatment outcome	10776	2676	24.832962138084632	TRUE	24.8%
2018	Strict TCM hospital visit	10768	128	1.188707280832095	TRUE	1.2%
