year	province	value_total_health_institution_beds	value_hospital_beds	value_comprehensive_hospital_beds	source_pdf_page	extraction_method
2011	北京市	94735	87596	56312	80	manual_double_checked_scan_transcription
2011	天津市	49423	40787	23320	80	manual_double_checked_scan_transcription
2011	河北省	266479	187504	141006	80	manual_double_checked_scan_transcription
2011	山西省	157132	110741	77940	80	manual_double_checked_scan_transcription
2011	内蒙古自治区	100633	72871	54794	80	manual_double_checked_scan_transcription
2011	辽宁省	215815	171032	119186	80	manual_double_checked_scan_transcription
2011	吉林省	121240	94636	67509	80	manual_double_checked_scan_transcription
2011	黑龙江省	165255	129449	95957	80	manual_double_checked_scan_transcription
2011	上海市	107130	87548	53910	80	manual_double_checked_scan_transcription
2011	江苏省	296390	221674	149049	80	manual_double_checked_scan_transcription
2011	浙江省	194759	162905	112954	80	manual_double_checked_scan_transcription
2011	安徽省	204210	140997	107434	80	manual_double_checked_scan_transcription
2011	福建省	124232	89947	64603	80	manual_double_checked_scan_transcription
2011	江西省	135570	87184	62603	80	manual_double_checked_scan_transcription
2011	山东省	416148	280385	205041	80	manual_double_checked_scan_transcription
2011	河南省	349612	239793	177661	80	manual_double_checked_scan_transcription
2011	湖北省	223980	152062	114013	80	manual_double_checked_scan_transcription
2011	湖南省	257687	168428	113815	80	manual_double_checked_scan_transcription
2011	广东省	325038	246050	181693	80	manual_double_checked_scan_transcription
2011	广西壮族自治区	152039	95752	66828	80	manual_double_checked_scan_transcription
2011	海南省	28465	21367	16845	80	manual_double_checked_scan_transcription
2011	重庆市	115627	74827	52318	80	manual_double_checked_scan_transcription
2011	四川省	334663	211524	147052	80	manual_double_checked_scan_transcription
2011	贵州省	117534	78368	62005	80	manual_double_checked_scan_transcription
2011	云南省	173434	126318	95776	80	manual_double_checked_scan_transcription
2011	西藏自治区	9592	6314	5280	80	manual_double_checked_scan_transcription
2011	陕西省	153847	114339	88081	80	manual_double_checked_scan_transcription
2011	甘肃省	94907	66661	50719	80	manual_double_checked_scan_transcription
2011	青海省	23117	18586	14123	80	manual_double_checked_scan_transcription
2011	宁夏回族自治区	25805	22037	17738	80	manual_double_checked_scan_transcription
2011	新疆维吾尔自治区	125391	97436	75164	80	manual_double_checked_scan_transcription
2013	北京市	104011	96558	58592	76	manual_double_checked_scan_transcription
2013	天津市	57743	49071	27962	76	manual_double_checked_scan_transcription
2013	河北省	303497	220423	165288	76	manual_double_checked_scan_transcription
2013	山西省	172620	128294	88819	76	manual_double_checked_scan_transcription
2013	内蒙古自治区	120065	91604	66056	76	manual_double_checked_scan_transcription
2013	辽宁省	241860	197453	136833	76	manual_double_checked_scan_transcription
2013	吉林省	133245	106342	74739	76	manual_double_checked_scan_transcription
2013	黑龙江省	189183	151349	110755	76	manual_double_checked_scan_transcription
2013	上海市	114314	94722	56935	76	manual_double_checked_scan_transcription
2013	江苏省	368287	286183	189971	76	manual_double_checked_scan_transcription
2013	浙江省	230056	197096	133031	76	manual_double_checked_scan_transcription
2013	安徽省	235959	171508	125039	76	manual_double_checked_scan_transcription
2013	福建省	156149	114849	82059	76	manual_double_checked_scan_transcription
2013	江西省	174299	114782	81126	76	manual_double_checked_scan_transcription
2013	山东省	489737	342104	247855	76	manual_double_checked_scan_transcription
2013	河南省	429810	306546	223791	76	manual_double_checked_scan_transcription
2013	湖北省	288169	200220	148478	76	manual_double_checked_scan_transcription
2013	湖南省	314090	215039	144331	76	manual_double_checked_scan_transcription
2013	广东省	378367	294219	218272	76	manual_double_checked_scan_transcription
2013	广西壮族自治区	187216	118475	83413	76	manual_double_checked_scan_transcription
2013	海南省	32100	24555	19347	76	manual_double_checked_scan_transcription
2013	重庆市	147436	99056	67849	76	manual_double_checked_scan_transcription
2013	四川省	426635	289242	198894	76	manual_double_checked_scan_transcription
2013	贵州省	166724	120418	92362	76	manual_double_checked_scan_transcription
2013	云南省	210125	156074	115475	76	manual_double_checked_scan_transcription
2013	西藏自治区	11003	7262	6004	76	manual_double_checked_scan_transcription
2013	陕西省	185139	142093	108337	76	manual_double_checked_scan_transcription
2013	甘肃省	116064	84511	62070	76	manual_double_checked_scan_transcription
2013	青海省	29529	23580	17069	76	manual_double_checked_scan_transcription
2013	宁夏回族自治区	31134	27076	21265	76	manual_double_checked_scan_transcription
2013	新疆维吾尔自治区	137325	107897	83136	76	manual_double_checked_scan_transcription
