year	province	gdp_per_capita_current_yuan	urban_population_percent	age_composition_sample_population	age_composition_sample_age_65_plus	extraction_method
2015	北京市	106497	86.50	335775	35775	manual_double_checked_official_table_image
2015	天津市	107960	82.64	239370	24641	manual_double_checked_official_table_image
2015	河北省	40255	51.33	1155542	117567	manual_double_checked_official_table_image
2015	山西省	34919	55.03	569491	52324	manual_double_checked_official_table_image
2015	内蒙古自治区	71101	60.30	390222	37288	manual_double_checked_official_table_image
2015	辽宁省	65354	67.35	680859	87595	manual_double_checked_official_table_image
2015	吉林省	51086	55.31	428511	46769	manual_double_checked_official_table_image
2015	黑龙江省	39462	58.80	592705	64239	manual_double_checked_official_table_image
2015	上海市	103796	87.60	373956	47936	manual_double_checked_official_table_image
2015	江苏省	87995	66.52	1238192	157135	manual_double_checked_official_table_image
2015	浙江省	77644	65.80	859773	96855	manual_double_checked_official_table_image
2015	安徽省	35997	50.50	955845	106895	manual_double_checked_official_table_image
2015	福建省	67966	62.60	596224	53694	manual_double_checked_official_table_image
2015	江西省	36724	51.62	710552	64388	manual_double_checked_official_table_image
2015	山东省	64168	57.01	1530763	178471	manual_double_checked_official_table_image
2015	河南省	39123	46.85	1476154	145415	manual_double_checked_official_table_image
2015	湖北省	50654	56.85	909271	102146	manual_double_checked_official_table_image
2015	湖南省	42754	50.89	1056139	118534	manual_double_checked_official_table_image
2015	广东省	67503	68.71	1681666	123964	manual_double_checked_official_table_image
2015	广西壮族自治区	35190	47.06	747093	72940	manual_double_checked_official_table_image
2015	海南省	40818	55.12	141596	11954	manual_double_checked_official_table_image
2015	重庆市	52321	60.94	468563	62282	manual_double_checked_official_table_image
2015	四川省	36775	47.69	1277289	165273	manual_double_checked_official_table_image
2015	贵州省	29847	42.01	550172	52149	manual_double_checked_official_table_image
2015	云南省	28806	43.33	738612	62088	manual_double_checked_official_table_image
2015	西藏自治区	31999	27.74	50634	2890	manual_double_checked_official_table_image
2015	陕西省	47626	53.92	589346	60994	manual_double_checked_official_table_image
2015	甘肃省	26165	43.19	404863	37912	manual_double_checked_official_table_image
2015	青海省	41252	50.30	91611	6502	manual_double_checked_official_table_image
2015	宁夏回族自治区	43805	55.23	103820	7643	manual_double_checked_official_table_image
2015	新疆维吾尔自治区	40036	47.23	367631	26207	manual_double_checked_official_table_image
2018	北京市	140211	86.50	17673	1989	manual_double_checked_official_table_image
2018	天津市	120711	83.15	12794	1397	manual_double_checked_official_table_image
2018	河北省	47772	56.43	61907	7854	manual_double_checked_official_table_image
2018	山西省	45328	58.41	30481	3147	manual_double_checked_official_table_image
2018	内蒙古自治区	68302	62.71	20781	2047	manual_double_checked_official_table_image
2018	辽宁省	58008	68.10	35744	5353	manual_double_checked_official_table_image
2018	吉林省	55611	57.53	22173	2743	manual_double_checked_official_table_image
2018	黑龙江省	43274	60.10	30946	3780	manual_double_checked_official_table_image
2018	上海市	134982	88.10	19877	2972	manual_double_checked_official_table_image
2018	江苏省	115168	69.61	65996	9435	manual_double_checked_official_table_image
2018	浙江省	98643	68.90	47034	6108	manual_double_checked_official_table_image
2018	安徽省	47712	54.69	51812	6840	manual_double_checked_official_table_image
2018	福建省	91197	65.82	32309	3065	manual_double_checked_official_table_image
2018	江西省	47434	56.02	38080	3707	manual_double_checked_official_table_image
2018	山东省	76267	61.18	82408	12495	manual_double_checked_official_table_image
2018	河南省	50152	51.71	78679	8698	manual_double_checked_official_table_image
2018	湖北省	66616	60.30	48498	6059	manual_double_checked_official_table_image
2018	湖南省	52949	56.02	56516	7057	manual_double_checked_official_table_image
2018	广东省	86412	70.70	93024	7687	manual_double_checked_official_table_image
2018	广西壮族自治区	41489	50.22	40353	4046	manual_double_checked_official_table_image
2018	海南省	51955	59.06	7658	629	manual_double_checked_official_table_image
2018	重庆市	65933	65.50	25416	3678	manual_double_checked_official_table_image
2018	四川省	48883	52.29	68344	10244	manual_double_checked_official_table_image
2018	贵州省	41244	47.52	29487	3344	manual_double_checked_official_table_image
2018	云南省	37136	47.81	39584	3790	manual_double_checked_official_table_image
2018	西藏自治区	43398	31.14	2817	160	manual_double_checked_official_table_image
2018	陕西省	63477	58.13	31684	3536	manual_double_checked_official_table_image
2018	甘肃省	31336	47.69	21614	2446	manual_double_checked_official_table_image
2018	青海省	47689	54.47	4945	375	manual_double_checked_official_table_image
2018	宁夏回族自治区	54094	58.88	5638	507	manual_double_checked_official_table_image
2018	新疆维吾尔自治区	49475	50.91	20375	1458	manual_double_checked_official_table_image
