model	model_label	exposure	effect_type	effect	ci_lower	ci_upper	conventional_pvalue	cr2_ci_lower	cr2_ci_upper	cr2_pvalue	cr2_df	n_persons	n_person_waves	n_clusters	n_province_years	interpretation_role	estimation_note
CL1	Bed-to-physician ratio only	TCM hospital beds per TCM practicing or assistant physician	percentage-point difference per 1-SD higher province-year bed-to-physician ratio	1.40842	-0.70836	3.5252	0.18346	-1.29794	4.11478	0.26316	7.77093	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL2	Bed density and physician density	TCM hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year bed density	2.71625	0.5469	4.88559	0.01604	-0.4788	5.9113	0.08096	5.16348	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL2	Bed density and physician density	TCM practicing or assistant physicians per 10,000 population	percentage-point difference per 1-SD higher province-year physician density	-2.31409	-5.99705	1.36887	0.20826	-7.60989	2.98171	0.32401	5.82369	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL3	Bed density, physician density, and bed-to-physician ratio	TCM hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year bed density	4.47123	0.27267	8.6698	0.03774	-0.51068	9.45315	0.07383	10.94224	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL3	Bed density, physician density, and bed-to-physician ratio	TCM practicing or assistant physicians per 10,000 population	percentage-point difference per 1-SD higher province-year physician density	-4.17778	-9.00215	0.6466	0.08687	-11.74943	3.39388	0.20346	4.17985	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL3	Bed density, physician density, and bed-to-physician ratio	TCM hospital beds per TCM practicing or assistant physician	percentage-point difference per 1-SD higher province-year bed-to-physician ratio	-1.73359	-5.25984	1.79267	0.32206	-5.93086	2.46369	0.38081	10.43772	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL4	Bed density, physician density, and their interaction	TCM hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year bed density	3.25394	-0.18391	6.69179	0.06263	-0.61554	7.12343	0.09323	14.91335	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL4	Bed density, physician density, and their interaction	TCM practicing or assistant physicians per 10,000 population	percentage-point difference per 1-SD higher province-year physician density	-1.71876	-7.2279	3.79039	0.52748	-9.05243	5.61491	0.60478	8.20338	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL4	Bed density, physician density, and their interaction	Interaction between TCM bed density and physician density	percentage-point interaction between province-year bed and physician density	-0.25516	-1.52989	1.01956	0.68452	-1.77398	1.26365	0.71634	10.12717	13083	32634	28	112	Exploratory mechanism context	Province and survey-year fixed effects with individual covariates
CL2_CONTRAST	Bed density and physician density coefficient contrast	Difference between TCM bed-density and physician-density associations	percentage-point difference between coefficients per 1-SD higher province-year resource density	5.03034	0.05144	10.00924	0.04784	-1.52665	11.58733	0.11606	8.63654	13083	32634	28	112	Formal exploratory coefficient contrast	Reparameterized joint model; coefficient equals bed-density coefficient minus physician-density coefficient
