model	model_label	outcome	exposure	effect_type	effect	ci_lower	ci_upper	conventional_pvalue	cr2_se	cr2_df	cr2_pvalue	small_cluster_method	cluster_level	n_clusters	n_persons	n_person_waves	fixed_effects	covariate_set	wild_cluster_pvalue
JHF1_primary	Primary individual-covariate model	Disease-specific TCM treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year measure	2.11084	0.09243	4.12924	0.04104	1.1674	4.57891	0.13574	CR2 cluster-robust variance with Satterthwaite degrees of freedom	province	28	13083	32634	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.1977
JHF2_tcm_and_comprehensive_beds	Primary model with comprehensive-hospital bed density	Disease-specific TCM treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year measure	2.60281	1.03559	4.17002	0.00207	0.87232	2.64647	0.06838	CR2 cluster-robust variance with Satterthwaite degrees of freedom	province	28	13083	32634	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.1296
JHF2_tcm_and_comprehensive_beds	Primary model with comprehensive-hospital bed density	Disease-specific TCM treatment use	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year measure	-2.08313	-4.88541	0.71915	0.13882	1.45013	9.504	0.18295	CR2 cluster-robust variance with Satterthwaite degrees of freedom	province	28	13083	32634	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	NA
JHF3_tcm_beds_physicians_and_context	Joint TCM resource model with health-system and socioeconomic context	Disease-specific TCM treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year measure	3.18028	1.40818	4.95239	0.00102	1.00973	4.43111	0.02998	CR2 cluster-robust variance with Satterthwaite degrees of freedom	province	28	13083	32634	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile; z_log_gdp; z_urbanization	NA
JHF3_tcm_beds_physicians_and_context	Joint TCM resource model with health-system and socioeconomic context	Disease-specific TCM treatment use	TCM practicing or assistant physicians per 10,000 population	percentage-point difference per 1-SD higher province-year measure	-2.18523	-5.37657	1.00612	0.17143	1.81628	6.08527	0.27363	CR2 cluster-robust variance with Satterthwaite degrees of freedom	province	28	13083	32634	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile; z_log_gdp; z_urbanization	NA
JHF3_tcm_beds_physicians_and_context	Joint TCM resource model with health-system and socioeconomic context	Disease-specific TCM treatment use	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1-SD higher province-year measure	-2.88235	-5.16752	-0.59718	0.01535	1.22481	10.18858	0.03997	CR2 cluster-robust variance with Satterthwaite degrees of freedom	province	28	13083	32634	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile; z_log_gdp; z_urbanization	NA
