outcome	supply_indicator	model	effect_type	effect	ci_lower	ci_upper	pvalue	wild_cluster_pvalue	wild_cluster_reps_requested	wild_cluster_reps_valid	wild_cluster_weight	wild_cluster_null_imposed	wild_cluster_seed	n_persons	n_person_waves	cluster_level	n_clusters	covariate_set	fixed_effects	source_table
Any disease/condition-specific Chinese medicine treatment use	TCM physicians per 10,000 population	M1_minimal_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-1.27366	-5.01142	2.4641	0.49043	NA	NA	NA	NA	NA	NA	13871	36697	province	28	age_model; I(age_model^2); female; rural_community	province and survey year	local CHARLS analytic table
Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	M1_minimal_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	1.89754	-0.01709	3.81218	0.05194	NA	NA	NA	NA	NA	NA	13871	36697	province	28	age_model; I(age_model^2); female; rural_community	province and survey year	local CHARLS analytic table
Any disease/condition-specific Chinese medicine treatment use	TCM physicians per 10,000 population	M2_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-0.70095	-4.03905	2.63716	0.67	NA	NA	NA	NA	NA	NA	13138	32914	province	28	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	province and survey year	local CHARLS analytic table
Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	M2_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	1.86577	0.16959	3.56194	0.03231	0.1683	9999	9999	Webb six-point	TRUE	20260720	13138	32914	province	28	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	province and survey year	local CHARLS analytic table
