check_type	detail	outcome	supply_indicator	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	n_events	event_percent	n_clusters	fixed_effects	covariate_set	source_table
leave_one_province_out	广东省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.19277	0.25125	4.13428	0.02836	12473	31339	6830	21.79393	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	广西壮族自治区	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.10545	0.22467	3.98624	0.02966	12625	31603	6773	21.43151	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	新疆维吾尔自治区	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.06109	0.18443	3.93775	0.0326	13065	32743	7034	21.48245	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	江苏省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.0956	0.20593	3.98527	0.03108	12490	31272	6916	22.11563	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	江西省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.08086	0.19798	3.96373	0.03162	12426	31171	6754	21.66758	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	河北省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	1.9777	0.08337	3.87202	0.04138	12581	31563	6770	21.44917	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	河南省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.05934	0.18083	3.93785	0.03289	12172	30458	6606	21.68888	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	浙江省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.1032	0.28784	3.91855	0.02485	12563	31472	6925	22.00369	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	湖北省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.06012	0.14367	3.97658	0.03614	12736	31910	6887	21.58258	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	湖南省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.11111	0.33464	3.88759	0.02168	12553	31402	6744	21.47634	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	甘肃省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	1.98573	-0.14721	4.11866	0.06673	12833	32137	6876	21.3959	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	福建省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.11057	0.15679	4.06435	0.03531	12813	32087	6924	21.57883	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	贵州省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.10462	0.28743	3.92182	0.0249	12960	32460	6967	21.46334	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	辽宁省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.08061	0.23526	3.92597	0.02861	12749	31971	6890	21.55078	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	重庆市	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.19941	0.20094	4.19787	0.03227	12927	32336	6956	21.51163	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	陕西省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	1.95424	-0.03748	3.94596	0.05415	12708	31870	6788	21.29903	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	青海省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	1.81981	-0.17174	3.81137	0.0716	13043	32656	6994	21.4172	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	黑龙江省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.02571	0.14004	3.91139	0.03625	12884	32348	6898	21.32435	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
