model	model_label	term	term_label	effect_type	effect	ci_lower	ci_upper	cluster_pvalue	n_persons	n_person_waves	n_clusters	analysis_years	fixed_effects
J1	Concurrent TCM beds and physicians	z_tcm_beds	Concurrent TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.65302	0.55976	4.74628	0.01492	13138	32914	28	2011;2013;2015;2018	province and survey year
J1	Concurrent TCM beds and physicians	z_tcm_physicians	Concurrent TCM physicians per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.27437	-5.90657	1.35782	0.20978	13138	32914	28	2011;2013;2015;2018	province and survey year
J2	Concurrent TCM resources with contextual adjustment	z_tcm_beds	Concurrent TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	3.12258	1.30006	4.94511	0.00157	13138	32914	28	2011;2013;2015;2018	province and survey year
J2	Concurrent TCM resources with contextual adjustment	z_tcm_physicians	Concurrent TCM physicians per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.12196	-5.37986	1.13593	0.19257	13138	32914	28	2011;2013;2015;2018	province and survey year
J2	Concurrent TCM resources with contextual adjustment	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.62308	-4.91197	-0.33419	0.02625	13138	32914	28	2011;2013;2015;2018	province and survey year
J2	Concurrent TCM resources with contextual adjustment	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	-0.166	-3.99129	3.6593	0.92971	13138	32914	28	2011;2013;2015;2018	province and survey year
J2	Concurrent TCM resources with contextual adjustment	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	4.41464	-3.23226	12.06153	0.24652	13138	32914	28	2011;2013;2015;2018	province and survey year
J3	Lagged TCM beds and physicians	z_lag_tcm_beds	Lagged TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	0.25967	-1.91243	2.43177	0.80808	12143	25424	28	2013;2015;2018	province and survey year
J3	Lagged TCM beds and physicians	z_lag_tcm_physicians	Lagged TCM physicians per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-0.50656	-2.96315	1.95003	0.67557	12143	25424	28	2013;2015;2018	province and survey year
J4	Lagged TCM resources with contextual adjustment	z_lag_tcm_beds	Lagged TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	0.39557	-1.58927	2.38042	0.68582	12143	25424	28	2013;2015;2018	province and survey year
J4	Lagged TCM resources with contextual adjustment	z_lag_tcm_physicians	Lagged TCM physicians per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-0.63626	-3.81091	2.5384	0.68415	12143	25424	28	2013;2015;2018	province and survey year
J4	Lagged TCM resources with contextual adjustment	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-1.78285	-4.37402	0.80832	0.16944	12143	25424	28	2013;2015;2018	province and survey year
J4	Lagged TCM resources with contextual adjustment	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	-1.75698	-5.7461	2.23213	0.37414	12143	25424	28	2013;2015;2018	province and survey year
J4	Lagged TCM resources with contextual adjustment	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	3.17758	-4.79396	11.14912	0.42058	12143	25424	28	2013;2015;2018	province and survey year
