outcome	supply_indicator	model	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	cluster_level	n_clusters	analysis_years	covariate_set	fixed_effects	source_table
Broader TCM-related use in 2011-2015	TCM practicing/assistant physicians per 10,000 population	B1_minimal_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-0.2875	-4.91173	4.33673	0.89944	11649	25556	province	28	2011;2013;2015	age_model; I(age_model^2); female; rural_community	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
Broader TCM-related use in 2011-2015	TCM hospital beds per 10,000 population	B1_minimal_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.61841	-1.60351	6.84034	0.21403	11649	25556	province	28	2011;2013;2015	age_model; I(age_model^2); female; rural_community	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
Broader TCM-related use in 2011-2015	TCM practicing/assistant physicians per 10,000 population	B2_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	0.04577	-4.02422	4.11577	0.98176	10713	22996	province	28	2011;2013;2015	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
Broader TCM-related use in 2011-2015	TCM hospital beds per 10,000 population	B2_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.22755	-1.80912	6.26421	0.26748	10713	22996	province	28	2011;2013;2015	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
