stratum	contrast	reference_level	interaction_term	effect_type	interaction_effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	n_clusters	fixed_effects	covariate_set	source_table	pvalue_holm	pvalue_fdr_bh	multiplicity_family
rural_stratum	rural_stratumrural	urban	z_tcm_beds_per_10000:rural_stratumrural	additional percentage-point difference per 1 SD higher bed density versus reference level	0.52622	-0.45761	1.51005	0.28213	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv	1	0.64615	five prespecified equity interaction domains
education_stratum	education_stratumlower_education	higher_education	z_tcm_beds_per_10000:education_stratumlower_education	additional percentage-point difference per 1 SD higher bed density versus reference level	0.36372	-1.58147	2.3089	0.70424	13138	32914	28	province and survey year	age_model; I(age_model^2); female; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv	1	0.73875	five prespecified equity interaction domains
income_stratum	income_stratumlower_income	higher_income	z_tcm_beds_per_10000:income_stratumlower_income	additional percentage-point difference per 1 SD higher bed density versus reference level	0.38888	-0.81901	1.59676	0.51448	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health	results/tcm/person_wave_tcm_core_density_analysis.tsv	1	0.73875	five prespecified equity interaction domains
income_stratum	income_stratumincome_missing	higher_income	z_tcm_beds_per_10000:income_stratumincome_missing	additional percentage-point difference per 1 SD higher bed density versus reference level	0.74686	-0.77556	2.26929	0.32307	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health	results/tcm/person_wave_tcm_core_density_analysis.tsv	1	0.64615	five prespecified equity interaction domains
multichronic_stratum	multichronic_stratummultimorbidity	no_multimorbidity	z_tcm_beds_per_10000:multichronic_stratummultimorbidity	additional percentage-point difference per 1 SD higher bed density versus reference level	2.986	1.2569	4.71511	0.00146	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv	0.00877	0.00877	five prespecified equity interaction domains
adl_stratum	adl_stratumadl_limitation	no_adl_limitation	z_tcm_beds_per_10000:adl_stratumadl_limitation	additional percentage-point difference per 1 SD higher bed density versus reference level	0.27387	-1.39379	1.94153	0.73875	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv	1	0.73875	five prespecified equity interaction domains
