province	year	source	source_name	source_url	source_edition	table_id	table_title	extraction_status	quality_flag	resource_definition	denominator_population	denominator_unit	denominator_source_id	denominator_notes	value_tcm_hospital_beds	value_tcm_practicing_assistant_physicians	value_per_10000_population_tcm_hospital_beds	value_per_10000_population_tcm_practicing_assistant_physicians	rank_tcm_hospital_beds_per_10000	rank_tcm_practicing_assistant_physicians_per_10000	unit_tcm_hospital_beds	unit_tcm_practicing_assistant_physicians	notes
山西省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	35930000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	13361	10999	3.72	3.06	22	7	beds	persons	Official NATCM Excel table; main core-density supply exposure.
广东省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	105050000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	31260	24190	2.98	2.3	29	15	beds	persons	Official NATCM Excel table; main core-density supply exposure.
广西壮族自治区	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	46450000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	18018	8299	3.88	1.79	18	26	beds	persons	Official NATCM Excel table; main core-density supply exposure.
新疆维吾尔自治区	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	22090000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	12779	4439	5.78	2.01	2	21	beds	persons	Official NATCM Excel table; main core-density supply exposure.
江苏省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	78990000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	29633	13926	3.75	1.76	20	27	beds	persons	Official NATCM Excel table; main core-density supply exposure.
江西省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	44880000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	15019	8264	3.35	1.84	25	25	beds	persons	Official NATCM Excel table; main core-density supply exposure.
河北省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	72410000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	27686	16673	3.82	2.3	19	16	beds	persons	Official NATCM Excel table; main core-density supply exposure.
河南省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	93880000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	37025	19293	3.94	2.06	15	20	beds	persons	Official NATCM Excel table; main core-density supply exposure.
浙江省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	54630000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	26321	14681	4.82	2.69	5	8	beds	persons	Official NATCM Excel table; main core-density supply exposure.
海南省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	8770000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	2639	1303	3.01	1.49	28	30	beds	persons	Official NATCM Excel table; main core-density supply exposure.
