model	weighting	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	effective_person_waves	n_clusters	fixed_effects	attrition_weight	source_table
W0_unweighted_reproduction	none	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.11084	0.09243	4.12924	0.04104	13083	32634	32634	28	province and survey year	not used; observation mechanisms are not jointly identifiable in the age-eligible pooled panel	results/tcm/person_wave_tcm_core_density_analysis.tsv
W1_adjusted_cross_sectional_weight	wave-specific individual weight with household and individual non-response adjustment, normalized within wave	percentage-point difference per 1 SD higher province-year TCM hospital bed density	0.68718	-1.60634	2.98071	0.54386	12849	31940	17475.25591	28	province and survey year	not used; observation mechanisms are not jointly identifiable in the age-eligible pooled panel	results/tcm/person_wave_tcm_core_density_analysis.tsv
W2_trimmed_adjusted_cross_sectional_weight	W1 weight truncated at wave-specific 1st and 99th percentiles	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.13912	-0.92302	3.20125	0.267	12849	31940	23871.60754	28	province and survey year	not used; observation mechanisms are not jointly identifiable in the age-eligible pooled panel	results/tcm/person_wave_tcm_core_density_analysis.tsv
