source_variable	standardized_variable	label	standardization_population	n_province_years	mean	sd
value_per_10000_population_tcm_hospital_beds	z_py_tcm_beds_per_10000	TCM hospital beds per 10,000 population	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	5.843322974747436	1.8714359606960373
value_per_10000_population_tcm_practicing_assistant_physicians	z_py_tcm_physicians_per_10000	TCM physicians per 10,000 population	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	3.317910900470687	1.2993506287091117
value_per_10000_population_comprehensive_hospital_beds	z_py_comprehensive_hospital_beds	Comprehensive-hospital beds per 10,000 population	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	26.232685893466094	5.950264816105417
value_per_10000_population_hospital_beds	z_py_hospital_beds	Hospital beds per 10,000 population	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	38.03640461283681	9.153101149936376
log_gdp_per_capita_current_yuan	z_py_log_gdp	Log GDP per capita	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	10.768583301346421	0.4501131873232593
urban_population_percent	z_py_urbanization	Urban population share	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	56.98339888128466	12.911823150743734
population_age_65_plus_percent	z_py_age_65_plus	Population aged 65 years or older	unique linked CHARLS province-year units among age-eligible observations with a nonmissing primary TCM outcome	112	10.108210652607875	2.0835930395934485
