province	year	gdp_per_capita_current_yuan	log_gdp_per_capita_current_yuan	urban_population_percent	age_composition_sample_population	age_composition_sample_age_65_plus	population_age_65_plus_percent	gdp_source_id	gdp_table_id	gdp_source_url	gdp_measure_notes	urbanization_source_id	urbanization_table_id	urbanization_source_url	urbanization_measure_notes	aging_source_id	aging_table_id	aging_source_url	aging_measure_notes	extraction_method	quality_flag
北京市	2011	81658	11.31029507277839	86.2	17246	1521	8.8194363910472	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
天津市	2011	85213	11.352909283337558	80.5	11577	1131	9.769370303187355	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
河北省	2011	33969	10.43320362298215	45.6	61861	5053	8.168312830377783	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
山西省	2011	31357	10.353192806623015	49.68	30698	2384	7.765978239624731	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
内蒙古自治区	2011	57974	10.967749913160826	56.62	21203	1461	6.8905343583455165	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
辽宁省	2011	50760	10.834863921828324	64.05	37447	4034	10.772558549416509	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
吉林省	2011	38460	10.55737401914277	53.4	23490	2044	8.701575138356747	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
黑龙江省	2011	32819	10.398762894953803	56.5	32757	2618	7.992184876514943	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
上海市	2011	82560	11.32128058071539	89.3	20056	1579	7.872955723972876	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
江苏省	2011	62290	11.03955617824819	61.9	67485	7300	10.81721864117952	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed
