phenotype	definition	phenotype_prevalence_percent	tcm_use_prevalence_if_present_percent	tcm_use_prevalence_if_absent_percent	bed_association_if_absent	bed_association_if_present	interaction_estimate	interaction_pvalue	bed_association_present_pvalue	observations	respondents	provinces	fixed_effects	covariate_set	interaction_holm_pvalue
Cardiometabolic or cerebrovascular multimorbidity	At least 2 diagnosed conditions among hypertension, diabetes, dyslipidemia, heart disease, and stroke	25.7126	33.6133	17.3144	1.46 (0.03 to 2.89)	3.75 (2.08 to 5.42)	2.29 (0.95 to 3.62)	0.0015	1e-4	32871	13126	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.0077
Arthritis with multimorbidity	Arthritis or rheumatism plus at least 1 other chronic condition	34.0274	34.4132	14.7837	1.58 (-1.04 to 4.20)	3.67 (1.19 to 6.15)	2.09 (0.40 to 3.78)	0.0173	0.0053	32656	13100	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.0595
Chronic lung disease with multimorbidity	Chronic lung disease plus at least 1 other chronic condition	14.3501	35.6395	19.1299	1.87 (-0.38 to 4.11)	4.50 (2.58 to 6.41)	2.63 (0.56 to 4.70)	0.0149	1e-4	32634	13095	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.0595
Digestive, liver, or kidney disease with multimorbidity	Digestive disease, liver disease, or kidney disease among respondents with at least 2 chronic conditions	29.986	35.3414	15.5589	1.70 (0.01 to 3.39)	3.46 (1.01 to 5.91)	1.76 (0.11 to 3.41)	0.037	0.0073	32772	13108	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.0741
Memory disease or stroke with multimorbidity	Memory-related disease or stroke among respondents with at least 2 chronic conditions	8.374	39.8104	19.8314	2.28 (0.38 to 4.18)	4.19 (1.88 to 6.51)	1.91 (-0.53 to 4.36)	0.1202	9e-4	32756	13106	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; any_adl_limitation; poor_self_rated_health; household_income_quartile	0.1202
