model	model_label	identifying_variation	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	n_repeated_persons	n_outcome_changers	n_clusters	raw_cluster_vcov_minimum_eigenvalue	cluster_vcov_psd_adjusted	inference	source_table
I0_primary_reproduction	province and wave fixed effects	within-province change across four survey waves	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.05803	0.18783	3.92822	0.03224	13138	32914	10185	3897	28	1.6331402309892937e-12	FALSE	province-clustered standard errors with t reference using G-1 degrees of freedom	results/tcm/person_wave_tcm_core_density_analysis.tsv
I1_individual_fixed_effects	individual and wave fixed effects	within-person change among respondents observed in at least two eligible waves	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.02009	-0.22294	4.26311	0.0756	10185	29961	10185	3897	28	6.709475327006034e-6	FALSE	province-clustered standard errors with t reference using G-1 degrees of freedom	results/tcm/person_wave_tcm_core_density_analysis.tsv
I2_mundlak_correlated_effects	province and wave fixed effects with person means	within-person deviations with observed person-level means entered explicitly	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.95324	0.06774	3.83874	0.04284	10185	29961	10185	3897	28	3.0440167104606855e-13	FALSE	province-clustered standard errors with t reference using G-1 degrees of freedom	results/tcm/person_wave_tcm_core_density_analysis.tsv
I3_province_linear_trends	province and wave fixed effects plus province-specific linear trends	deviations from province-specific linear change across four survey waves	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.15901	-2.42387	4.74189	0.51249	13138	32914	10185	3897	28	-1.0877657775224846e-19	FALSE	province-clustered standard errors with t reference using G-1 degrees of freedom	results/tcm/person_wave_tcm_core_density_analysis.tsv
